det_x,det_y,truth_x,truth_y,dist
320.003714,239.998347,320.004,239.998,0.0004496721027739159
101.38063,1.136978,317.918,239.849,322.2915792474966
641.205766,471.305018,321.142,241.315,394.1271656277237
0.971455,105.049297,317.918,239.849,344.421358681957
158.768431,412.659063,317.918,239.849,234.9295706950271
637.44392,409.819666,321.142,241.315,358.3862819074664
239.306172,-27.26667,319.802,239.124,278.2868437214639
247.993014,197.628134,317.918,239.849,81.68295533885974
382.20734,0.420954,319.802,239.124,246.72569916851734
217.487017,187.827974,317.918,239.849,113.10424170843002
638.147928,438.294287,321.142,241.315,373.22057538963406
586.28906,129.854531,320.949,239.893,287.2521751017171
210.99849,322.168386,317.918,239.849,134.93799661347094
350.774846,47.872572,319.802,239.124,193.74319575504813
638.964516,296.821459,321.142,241.315,322.6331022497365
69.576171,57.565072,317.918,239.849,308.06021235819213
639.0,229.0,321.159,240.813,318.06044747814843
635.221952,0.169779,320.949,239.893,395.2653678801232
6.709457,235.519138,317.918,239.849,311.23866234952544
262.799851,29.044931,319.802,239.124,217.6751254106104
396.0,479.0,321.142,241.315,249.19446099181258
140.8993,192.973215,317.918,239.849,183.12006817674634
226.038314,271.965156,317.918,239.849,97.33100315765235
426.850687,133.676675,320.678,239.56,149.94638367715174
303.170098,68.982143,319.802,239.124,170.95283462857836
143.348755,479.640249,319.725,241.368,296.44939609285433
153.225731,101.721257,317.918,239.849,214.9484050990898
233.0609,315.238163,317.918,239.849,113.50882484745655
103.944126,231.296721,317.918,239.849,214.14471796115294
24.461222,167.526398,317.918,239.849,302.23738900769985
286.009976,334.376266,319.725,241.368,98.9304826009018
11.487876,127.323693,317.918,239.849,326.4373839040186
261.065542,469.109563,319.725,241.368,235.17472553515765
0.941498,293.991494,317.918,239.849,321.56727519555847
344.587767,372.725382,321.142,241.315,133.48555160617278
581.860472,347.277638,321.142,241.315,281.4288583175752
489.0,0.0,320.678,239.56,292.7819825125856
467.657036,415.656761,321.142,241.315,227.73165217567458
283.006887,479.770387,319.725,241.368,241.21342821157066
0.177677,420.051121,317.918,239.849,365.28306458559365
450.992727,446.510331,321.142,241.315,242.82984817898333
357.286072,26.619501,319.802,239.124,215.78511938718617
75.96931,138.370991,317.918,239.849,262.36797613908635
172.855984,301.068563,317.918,239.849,157.45101898652553
228.444238,196.878062,317.918,239.849,99.25752162447179
169.695622,124.992292,317.918,239.849,187.51516395367108
569.018071,322.462797,321.142,241.315,260.82084182892714
