id,ra_deg,dec_deg,mag,x,y,z,u,v
1,0.01367775,1.08901332,9.100,0.999819346433,0.000238678650359,0.019005723646,319.715,217.298
6,0.27212160,3.94648893,12.310,0.997617512132,0.00473813808137,0.0688247741407,314.328,157.609
14,0.72407835,0.36042119,7.250,0.999900363433,0.012636964835,0.00629049497256,304.907,232.487
18,0.79708845,4.05373813,11.030,0.997401660717,0.0138765654881,0.0706920655329,303.385,155.356
21,0.99353535,8.00723437,7.550,0.990101612053,0.017170541509,0.139298134638,299.289,71.979
31,1.47140850,2.67547768,7.630,0.998580567461,0.02565010971,0.0466789263122,289.324,184.174
33,1.48771245,10.46245445,8.100,0.983042634366,0.025530912385,0.181591165894,288.984,19.393
44,1.99083450,3.30636174,7.910,0.997732820722,0.0346817986295,0.0576748758001,278.487,170.965
51,2.15085660,1.06619726,8.940,0.999122460605,0.0375242152267,0.0186075787079,275.147,217.758
56,2.44247625,0.22293899,8.120,0.99908394788,0.0426160196741,0.00389100958822,269.059,235.349
81,3.65796645,4.93211471,8.570,0.994267498646,0.0635639609052,0.0859753686297,243.651,136.731
82,3.72047595,10.93580540,9.500,0.979771115095,0.0637105717422,0.189709053747,242.342,8.761
87,3.92273340,5.83497569,7.800,0.992488186624,0.0680566897368,0.10166359424,238.108,117.669
91,4.20852705,5.87433293,7.660,0.992066491883,0.0730012514015,0.102346924612,232.121,116.794
93,4.38333825,0.07592034,8.120,0.997074144822,0.0764290124606,0.00132505951448,228.456,238.413
109,5.19903015,6.79149102,7.230,0.988897881991,0.0899798796142,0.118256501975,211.335,97.186
118,5.79728685,9.43003605,9.200,0.981441014454,0.099644188955,0.163843128494,198.749,40.629
129,6.23403510,5.37275092,9.320,0.98971922266,0.10811280883,0.0936348271976,189.544,127.014
134,6.37710825,1.13997217,9.960,0.993615676214,0.111049893041,0.0198949550793,186.526,216.088
135,6.40118880,0.21749947,8.640,0.993758445946,0.111488748056,0.00379607275578,186.018,235.438
145,6.83983680,3.02747891,5.130,0.991497196649,0.118928114379,0.0528148903883,176.751,176.385
154,7.34947590,6.01397169,4.370,0.986325942469,0.127217049707,0.104770976303,165.964,113.142
157,7.50491520,5.21399723,8.510,0.987331333477,0.130070804642,0.0908758698083,162.669,130.078
159,7.66216725,2.76616306,6.930,0.98991667117,0.133176447457,0.0482599003542,159.333,181.778
168,8.00282880,2.81984528,9.560,0.98906214601,0.139053416283,0.0491957188226,152.098,180.598
180,8.56353465,9.17489501,8.470,0.976200209046,0.147000958389,0.159448644059,140.163,44.935
184,8.84663475,11.00634091,8.480,0.969928417886,0.15096132778,0.19091763065,134.124,4.926
185,8.85225300,10.78564387,8.530,0.970633047327,0.151168481942,0.187135185107,134.004,9.751
186,9.01046880,8.95683360,6.330,0.975616136662,0.154705152555,0.15569030046,130.625,49.419
187,9.03171270,6.05918213,8.990,0.982084264164,0.156104126188,0.105555671889,130.171,111.640
188,9.03756780,6.33313676,8.640,0.981558643244,0.156123419976,0.110309145618,130.046,105.788
190,9.08334630,10.77665206,8.740,0.970044428362,0.155086768335,0.18698101853,129.067,9.801
192,9.29746755,8.39393024,8.160,0.976291388968,0.159829537621,0.145978226906,124.487,61.431
194,9.35984070,8.48557854,5.700,0.975885175877,0.160854068732,0.147560469219,123.152,59.420
205,9.68566695,5.18664439,8.540,0.981709450045,0.167553921331,0.0904004377136,116.170,130.027
210,9.93223005,8.48794379,9.050,0.974223559672,0.170593998824,0.147601298587,110.877,59.062
219,10.35343875,6.03445242,8.560,0.978266927821,0.178723937015,0.10512645847,101.816,111.663
223,10.44377880,3.86040514,9.010,0.981201884412,0.180859328707,0.0673258141092,99.870,158.055
224,10.44616755,2.13037640,7.170,0.98274597531,0.181186306726,0.0371735156625,99.818,194.826
236,11.06724855,0.89382979,8.090,0.98128313438,0.191937649807,0.0155996400264,86.405,221.015
239,11.14761000,3.38193739,8.560,0.979423682122,0.193000604542,0.0589916735159,84.666,168.069
240,11.15652885,9.79522025,10.810,0.966799825526,0.190669350884,0.170127293507,84.472,29.847
241,11.27950440,9.13829706,8.760,0.968237713008,0.193112829186,0.158818028931,81.808,44.109
245,11.45373105,7.81552594,8.520,0.970981398135,0.196731963824,0.135984039082,78.030,72.747
247,11.48292345,8.26141340,9.190,0.9698145739,0.197010013407,0.143689759093,77.396,63.056
248,11.48627085,8.27080462,8.100,0.969779969099,0.197061980092,0.143851963966,77.324,62.850
263,12.43856805,4.68713578,12.040,0.973261766694,0.214672389919,0.0817147385559,56.583,139.731
267,12.53116680,4.14573041,8.090,0.973623859617,0.216402925621,0.0722935250682,54.558,151.324
294,13.75734675,3.90700467,7.890,0.969054213895,0.237257758806,0.0681372616037,27.605,156.028
7139,345.33879165,2.72372228,9.280,0.966346405881,-0.252817071501,0.0475200189252,632.443,181.273
7144,345.51041535,1.34183818,9.640,0.967927637374,-0.250135396059,0.0234173535031,628.624,211.107
7151,345.93296835,3.68516191,7.410,0.9680063355,-0.24255433157,0.0642738723663,619.246,160.704
7155,346.15857855,1.57205352,8.110,0.970596125364,-0.239145423055,0.0274340675007,614.253,206.244
7191,347.77989915,3.03241518,7.950,0.97597318862,-0.21137130203,0.0529009241128,578.646,175.267
7204,348.26510685,8.14941316,9.160,0.969211966404,-0.201329790982,0.141754997948,568.077,65.330
7205,348.29784255,4.77449845,8.690,0.975817301689,-0.20212036849,0.083234310026,567.365,138.133
7213,348.68019240,0.12690074,7.920,0.980544454798,-0.196284657261,0.00221483392541,559.065,237.302
7215,348.80857620,5.38223908,8.890,0.976659145895,-0.193231802233,0.093799698001,556.283,125.302
7217,348.96947160,9.01467905,6.600,0.969401801369,-0.188968711085,0.156687503438,552.800,46.969
7238,349.89168690,8.20881472,6.310,0.97439103874,-0.173711344239,0.142781205019,532.908,65.001
7255,350.79568830,6.56664823,8.350,0.980648204148,-0.158906085005,0.114358890556,513.520,100.731
7259,350.91407055,9.51508652,9.690,0.973867351311,-0.155742990628,0.165307298452,510.988,37.283
7262,351.02896890,1.86554789,8.630,0.987243763266,-0.155852417168,0.0325542002638,508.533,200.620
7265,351.09939195,2.35922888,9.270,0.987120806205,-0.15458972578,0.041164677089,507.029,190.197
7271,351.42081720,7.02514279,5.750,0.981387226304,-0.148056161995,0.122304885195,500.170,91.166
7272,351.46596885,10.90437833,7.970,0.971072071564,-0.145717402192,0.189170480064,499.208,7.352
7273,351.55725345,7.16786672,9.730,0.981432598271,-0.145673621724,0.124776804672,497.263,88.165
7276,351.59112660,3.77215239,8.260,0.987106548787,-0.145919423681,0.0657889286657,496.541,160.405
7288,352.23535020,8.99362761,8.150,0.978649839732,-0.133443269572,0.156324614179,482.842,49.235
7290,352.24911450,2.56538999,8.850,0.989870758983,-0.134731079607,0.0447595430973,482.550,185.999
7291,352.43235615,10.42386319,9.980,0.974930017999,-0.129523114244,0.180928778479,478.661,18.368
7298,352.62671745,1.68574858,9.840,0.991301899829,-0.128277617383,0.0294176184457,474.541,204.560
7302,352.74449790,4.12880910,8.150,0.989418314166,-0.125966460014,0.0719989621138,472.045,153.095
7307,352.97476650,2.44658838,8.900,0.991587676616,-0.122194968029,0.0426880471755,467.170,188.587
7315,353.52184545,6.27252304,8.380,0.987666635085,-0.112148954384,0.109257631175,455.607,107.889
7319,353.71353390,8.45759045,8.080,0.983177240144,-0.108308715971,0.147077314731,451.562,61.347
7323,353.84743365,10.91836311,8.900,0.976242357452,-0.105236188717,0.18941014783,448.737,8.291
7336,354.68399460,0.23269304,7.870,0.995690644462,-0.0926479724093,0.0040612485302,431.124,235.129
7342,355.02249225,4.58476959,9.580,0.99304106442,-0.0864870331528,0.0799339569387,424.011,143.869
7345,355.36449930,7.37501187,9.260,0.988483294847,-0.0801479414505,0.128363091616,416.832,84.916
7347,355.38407145,6.58640513,8.050,0.990177960339,-0.0799448903263,0.114701444495,416.422,101.658
7349,355.41445335,2.03359617,7.470,0.996171284987,-0.079897124183,0.0354854972549,415.784,197.458
7352,355.54644510,0.94542483,6.900,0.996844883019,-0.0776403780027,0.0165000273306,413.016,220.232
7357,355.70693115,3.52380859,6.440,0.99530884556,-0.0747165645188,0.0614632974753,409.651,166.251
7361,355.78561740,8.27487179,6.960,0.986913216174,-0.0727234554855,0.143922210807,408.002,65.841
7363,355.83915765,7.39138121,9.130,0.989076724191,-0.0719536784193,0.128646421734,406.880,84.666
7370,356.37511770,0.01942093,8.060,0.99799930844,-0.0632239310745,0.000338959165809,395.657,239.594
7377,356.64650580,2.33533710,7.440,0.997458512888,-0.058447519779,0.0407480367482,389.979,191.212
7386,357.40911510,7.57919730,8.690,0.990250198551,-0.0448091372531,0.131896495363,374.040,80.931
7387,357.43564440,10.27850061,12.230,0.982966729331,-0.0440234987105,0.178433014295,373.486,23.213
7389,357.51100755,1.28062277,9.540,0.998807043781,-0.0434166043303,0.022349222867,371.912,213.277
7407,358.33506855,10.56175465,8.070,0.982642901917,-0.028562203516,0.183295193178,354.713,17.232
7409,358.41149085,5.01123239,8.740,0.995794756428,-0.0276152016144,0.0873510372603,353.119,135.240
7422,358.80682560,5.07746687,7.790,0.995859970574,-0.0207416049014,0.0885025696519,344.874,133.866
7434,359.40411870,10.69424666,9.690,0.982578294097,-0.0102192717635,0.185567945655,332.421,14.455
7443,359.73561405,1.27501927,8.270,0.999741762174,-0.00461324645244,0.0222514476635,325.511,213.419
113510,345.15783182,0.18583971,6.220,0.966630040765,-0.256155897725,0.00324350913328,636.477,235.993
113567,345.31827027,1.08445225,8.370,0.967175354087,-0.253404096185,0.0189261322757,632.900,216.630
113573,345.34605720,0.12135943,7.800,0.967469253261,-0.252979757218,0.00211812004804,632.281,237.385
113605,345.43150931,3.53103820,6.440,0.966010266936,-0.251059614082,0.0615892389199,630.379,163.859
113627,345.48084087,2.68602462,7.630,0.967000284099,-0.250428289502,0.0468628036932,629.282,182.124
113636,345.51058671,1.20927392,9.240,0.967978251769,-0.250145387655,0.0211042445482,628.620,213.962
113637,345.51312560,0.39864689,8.860,0.968181538147,-0.250152154441,0.00695764464689,628.564,231.418
113640,345.52456683,3.85045713,8.810,0.966069282704,-0.249400625124,0.0671525815156,628.309,156.986
113670,345.60128208,0.43918199,7.380,0.968560271193,-0.248660908388,0.00766509668017,626.604,230.549
113673,345.61084259,0.59792351,7.850,0.968577461949,-0.248493057481,0.0104355445091,626.392,227.133
113734,345.78440495,0.42920986,7.780,0.969351345842,-0.245564354918,0.00749105517603,622.539,230.771
113779,345.93758159,2.60893157,8.140,0.969026148091,-0.242726947694,0.0455187124083,619.144,183.901
113789,345.96919380,3.82006998,4.480,0.968009990652,-0.241904896144,0.0666234134411,618.444,157.805
113796,345.98785818,4.79495356,6.680,0.966848800911,-0.241280118438,0.0835900749128,618.030,136.749
113809,346.01258061,1.07421178,9.830,0.970178284985,-0.241666358975,0.0187474340692,617.483,216.923
113813,346.02160961,3.29340535,7.400,0.968784243714,-0.241156977606,0.0574491190772,617.283,169.180
113831,346.07694891,1.89985396,9.120,0.97008620585,-0.240486291258,0.0331526309109,616.058,199.186
113856,346.16186389,3.49449517,9.330,0.969169922786,-0.238735075587,0.0609526410487,614.180,164.891
