id,x,y,area,peak,snr
0,328.970610,229.653083,49,65135.724731,63.337
1,110.347526,-9.208286,28,1.742022,2.380
2,650.172662,460.959754,28,1.671665,1.918
3,9.938351,94.704033,28,1.701653,1.898
4,167.735327,402.313799,49,1.703191,1.879
5,646.410816,399.474402,28,1.695117,1.877
6,248.273068,-37.611934,28,1.682430,1.865
7,256.959910,187.282870,49,2.717032,1.822
8,391.174236,-9.924310,28,1.699731,1.821
9,226.453913,177.482710,49,1.708958,1.811
10,647.114824,427.949023,35,1.700500,1.777
11,595.255956,119.509267,49,1.719723,1.760
12,219.965386,311.823122,49,1.693195,1.759
13,359.741742,37.527308,49,2.702038,1.757
14,647.931412,286.476195,28,1.717416,1.750
15,78.543067,47.219808,49,2.726644,1.728
16,647.966896,218.654736,28,2.695117,1.728
17,644.188848,-10.175485,28,1.712418,1.722
18,15.676353,225.173874,49,1.696271,1.720
19,271.766747,18.699667,49,1.710880,1.717
20,404.966896,468.654736,28,1.739715,1.717
21,149.866196,182.627951,49,1.710496,1.706
22,235.005210,261.619892,49,1.706267,1.704
23,435.817583,123.331411,49,1.700115,1.692
24,312.136994,58.636879,49,1.711265,1.688
25,152.315651,469.294985,28,1.708958,1.688
26,162.192627,91.375993,49,1.717801,1.687
27,242.027796,304.892899,49,1.699346,1.678
28,112.911022,220.951457,49,1.684737,1.673
29,33.428118,157.181134,49,1.706267,1.671
30,294.976872,324.031002,49,2.710880,1.669
31,20.454772,116.978429,49,1.690504,1.667
32,270.032438,458.764299,49,1.717416,1.661
33,9.908394,283.646230,28,1.695117,1.659
34,353.554663,362.380118,49,1.715494,1.657
35,590.827368,336.932374,49,2.697424,1.654
36,497.966896,-10.345264,28,1.730104,1.652
37,476.623932,405.311497,49,1.701653,1.648
38,291.973783,469.425123,28,1.695117,1.647
39,9.144573,409.705857,28,1.700884,1.646
40,459.959623,436.165067,49,2.710111,1.644
41,366.252968,16.274237,49,2.705113,1.642
42,84.936206,128.025727,49,2.697040,1.639
43,181.822880,290.723299,49,1.715879,1.637
44,237.411134,186.532798,49,1.707805,1.635
45,178.662518,114.647028,49,1.715879,1.632
46,577.984967,312.117533,49,1.708574,1.630
47,284.129978,418.209507,49,2.711649,1.627
48,637.790091,-11.537343,28,1.693964,1.625
49,179.545303,387.560603,49,1.699731,1.624
50,401.433907,173.608797,49,2.703191,1.624
51,455.637728,449.149200,49,1.704344,1.623
52,275.931151,-3.521199,49,1.711265,1.622
53,65.148935,49.552031,49,1.725875,1.620
54,8.966896,148.654736,28,1.712418,1.615
55,407.699225,314.760886,49,2.689350,1.613
56,480.966896,468.654736,28,1.702807,1.611
57,313.523420,125.566118,49,2.692042,1.609
58,614.329762,349.896995,49,1.704344,1.608
59,563.867025,60.478474,49,1.717801,1.604
60,627.181210,354.374732,49,2.705882,1.602
61,113.663569,399.075434,49,2.711649,1.597
62,45.175027,331.479857,49,1.712803,1.594
63,641.696809,55.735260,49,1.708189,1.593
64,476.331383,240.282388,49,2.706267,1.591
65,464.152976,-3.078986,49,1.719723,1.591
66,430.983944,27.906288,49,1.702038,1.587
67,431.576262,463.606362,49,2.720492,1.586
68,224.599536,281.088394,49,1.688197,1.586
69,362.681435,-11.519839,28,1.697424,1.585
70,78.065640,298.268334,49,1.706267,1.585
71,11.757517,381.592156,49,1.690504,1.583
72,166.096665,223.662778,49,2.704729,1.582
73,559.077911,127.289572,49,1.700884,1.582
74,444.091681,321.722091,49,2.692426,1.580
75,199.031430,206.622855,49,1.686659,1.578
76,243.823684,386.923092,49,1.710880,1.577
77,638.764485,128.456134,49,1.703191,1.575
78,655.679844,404.460509,28,1.694348,1.574
79,452.146841,152.565019,49,1.700884,1.573
80,219.763039,265.270607,49,1.699731,1.573
81,428.687690,249.877232,49,2.719339,1.570
