truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
7427,321.849,246.165,0,324.242,249.315,3.956
7726,187.455,18.064,2,182.463,13.464,6.788
6462,47.512,32.243,3,47.375,26.137,6.108
3558,366.237,22.379,4,369.704,23.642,3.690
5987,534.538,37.175,5,539.652,34.856,5.615
2793,245.405,37.792,6,249.169,36.725,3.912
10348,17.304,36.559,7,19.022,41.057,4.815
7201,261.434,51.971,8,262.919,50.389,2.170
8762,181.906,48.272,9,182.325,54.307,6.050
7801,283.011,59.985,11,278.672,66.314,7.674
7939,300.889,69.233,12,303.876,72.289,4.273
3979,609.133,67.383,13,611.030,71.678,4.695
3376,623.313,72.931,14,628.665,72.610,5.362
7387,257.735,77.863,15,253.046,81.153,5.728
5065,32.100,103.139,16,35.399,97.810,6.268
7963,230.609,108.071,17,228.922,102.722,5.609
2859,396.445,105.605,18,400.974,105.231,4.544
6594,580.158,112.387,19,584.651,114.533,4.979
6427,596.187,118.552,20,590.688,120.669,5.892
5228,557.348,121.018,21,562.245,119.822,5.041
9146,296.573,128.415,23,294.102,128.066,2.496
6004,63.541,130.881,24,64.997,134.858,4.235
964,281.778,139.512,25,278.449,135.864,4.939
2854,447.613,163.555,27,448.139,159.601,3.989
3140,548.101,173.419,28,547.726,173.246,0.413
6528,615.298,182.667,29,618.282,185.073,3.833
6395,565.363,191.914,30,568.387,189.849,3.662
4737,101.763,190.681,31,101.700,196.614,5.933
1757,307.054,224.588,32,302.987,228.015,5.318
5385,560.431,240.616,33,560.884,236.438,4.202
9910,163.412,265.276,34,164.561,261.255,4.182
1531,158.480,366.997,36,160.332,368.051,2.131
10059,14.838,378.710,37,16.658,373.535,5.486
448,76.487,373.162,38,73.077,374.731,3.754
7312,38.881,379.943,39,41.019,383.971,4.560
7220,120.874,392.273,40,124.184,390.565,3.725
70,639.341,395.355,41,634.706,400.341,6.808
7676,43.813,410.151,42,42.583,416.118,6.092
5828,171.426,436.660,43,175.201,438.377,4.147
6639,82.652,455.155,44,85.363,449.771,6.028
