det_x,det_y,truth_x,truth_y,dist
328.970610,229.653083,320.678000,239.560000,12.919535
110.347526,-9.208286,317.918000,239.849000,324.214487
650.172662,460.959754,321.142000,241.315000,395.607121
9.938351,94.704033,317.918000,239.849000,340.468098
167.735327,402.313799,317.918000,239.849000,221.245669
646.410816,399.474402,321.142000,241.315000,361.682456
248.273068,-37.611934,319.802000,239.124000,285.830658
256.959910,187.282870,317.918000,239.849000,80.492775
391.174236,-9.924310,319.802000,239.124000,259.073458
226.453913,177.482710,317.918000,239.849000,110.703357
647.114824,427.949023,321.142000,241.315000,375.620208
595.255956,119.509267,320.949000,239.893000,299.560594
219.965386,311.823122,317.918000,239.849000,121.552412
359.741742,37.527308,319.802000,239.124000,205.514985
647.931412,286.476195,321.142000,241.315000,329.895216
78.543067,47.219808,317.918000,239.849000,307.256187
647.966896,218.654736,321.159000,240.813000,327.558223
644.188848,-10.175485,320.949000,239.893000,408.678659
15.676353,225.173874,317.918000,239.849000,302.597707
271.766747,18.699667,319.802000,239.124000,225.597589
404.966896,468.654736,321.142000,241.315000,242.301401
149.866196,182.627951,317.918000,239.849000,177.526497
235.005210,261.619892,317.918000,239.849000,85.723407
435.817583,123.331411,320.678000,239.560000,163.603816
312.136994,58.636879,319.802000,239.124000,180.649808
152.315651,469.294985,319.725000,241.368000,282.801345
162.192627,91.375993,317.918000,239.849000,215.161859
242.027796,304.892899,317.918000,239.849000,99.950147
112.911022,220.951457,317.918000,239.849000,205.876123
33.428118,157.181134,317.918000,239.849000,296.257437
294.976872,324.031002,319.725000,241.368000,86.288132
20.454772,116.978429,317.918000,239.849000,321.840876
270.032438,458.764299,319.725000,241.368000,223.003367
9.908394,283.646230,317.918000,239.849000,311.107883
353.554663,362.380118,321.142000,241.315000,125.328941
590.827368,336.932374,321.142000,241.315000,286.134374
497.966896,-10.345264,320.678000,239.560000,306.404950
476.623932,405.311497,321.142000,241.315000,225.985580
291.973783,469.425123,319.725000,241.368000,229.739377
9.144573,409.705857,317.918000,239.849000,352.409394
459.959623,436.165067,321.142000,241.315000,239.242306
366.252968,16.274237,319.802000,239.124000,227.639428
84.936206,128.025727,317.918000,239.849000,258.427864
181.822880,290.723299,317.918000,239.849000,145.293069
237.411134,186.532798,317.918000,239.849000,96.560721
178.662518,114.647028,317.918000,239.849000,187.263512
577.984967,312.117533,321.142000,241.315000,266.423175
284.129978,418.209507,319.725000,241.368000,180.388260
637.790091,-11.537343,320.949000,239.893000,404.481760
179.545303,387.560603,317.918000,239.849000,202.399903
401.433907,173.608797,320.678000,239.560000,104.264460
455.637728,449.149200,321.142000,241.315000,247.556368
275.931151,-3.521199,319.802000,239.124000,246.579285
