id,x,y
0,209.000,0.667
1,314.667,1.000
2,402.667,2.000
3,564.000,1.000
4,566.800,1.800
5,583.667,1.000
6,591.200,2.000
7,629.667,1.000
8,43.000,4.800
9,82.667,2.333
10,319.333,4.000
11,79.750,6.000
12,161.000,4.000
13,170.667,4.333
14,268.333,6.000
15,392.333,6.000
16,412.667,5.000
17,493.000,6.000
18,580.750,6.250
19,22.333,7.333
20,285.667,7.667
21,342.000,7.000
22,484.000,7.400
23,145.000,9.333
24,215.000,9.000
25,255.000,10.000
26,278.667,9.667
27,375.857,9.000
28,462.333,9.000
29,502.500,9.500
30,564.889,10.667
31,612.000,8.667
32,111.250,12.250
33,202.000,11.333
34,350.333,11.667
35,638.000,10.667
36,70.000,13.750
37,121.500,13.250
38,222.333,14.000
39,257.333,14.000
40,331.667,14.000
41,359.667,12.667
42,391.667,13.000
43,573.500,13.500
44,30.667,15.333
45,183.250,14.250
46,186.250,14.750
47,290.000,14.333
48,397.000,16.000
49,540.200,15.200
50,619.333,15.500
51,180.250,17.000
52,268.000,17.000
53,445.333,16.667
54,457.750,18.500
55,563.000,17.200
56,130.333,19.000
57,146.714,20.714
58,544.250,19.250
59,295.333,21.000
60,398.333,22.000
61,497.667,22.000
62,612.667,22.000
63,635.667,22.000
64,203.500,24.500
65,89.800,26.000
66,111.667,25.000
67,207.000,26.000
68,556.000,26.500
69,585.333,25.000
70,238.500,27.500
71,260.000,27.667
72,342.750,28.000
73,451.000,28.000
74,562.000,26.333
75,626.000,27.667
76,5.600,30.600
77,124.167,31.500
78,141.000,28.000
79,458.000,29.667
80,59.333,32.000
81,225.000,30.667
82,95.500,34.000
83,165.000,33.000
84,190.333,33.167
85,597.000,32.667
86,217.000,35.333
87,246.000,35.667
88,366.333,36.000
89,538.400,35.800
90,575.750,36.000
91,19.000,37.750
92,124.667,37.333
93,131.000,37.000
94,605.333,38.000
95,71.000,38.667
96,275.500,39.250
97,310.000,39.667
98,486.333,39.667
99,615.667,39.333
100,77.667,42.000
101,185.500,41.500
102,300.667,41.000
103,323.500,40.500
104,342.500,40.250
105,377.333,41.000
106,389.000,41.000
107,411.667,41.000
108,422.667,42.000
109,434.714,42.857
110,446.333,40.667
111,602.000,41.667
112,258.000,44.333
113,315.333,43.000
114,354.750,43.750
115,363.000,42.000
116,477.000,43.000
117,521.500,42.250
118,533.000,43.286
119,62.600,46.200
120,67.333,46.000
121,190.000,44.333
122,277.667,44.333
123,439.333,46.000
124,443.400,46.200
125,592.667,46.000
126,174.000,46.333
127,372.667,46.667
128,390.000,46.667
129,494.000,46.333
130,433.333,48.333
131,449.000,49.000
132,588.000,49.000
133,623.000,49.667
134,56.250,51.750
135,335.500,50.250
136,346.667,50.333
137,393.750,51.500
138,515.500,52.500
139,168.800,53.600
140,244.000,53.667
141,292.000,54.000
142,502.250,54.250
143,589.000,52.667
144,34.800,55.000
145,63.522,56.609
146,116.000,55.000
147,155.000,55.667
148,226.000,56.000
149,313.000,54.000
150,418.500,55.000
151,14.000,57.333
152,88.000,57.800
153,183.333,56.333
154,216.000,56.333
155,282.750,57.500
156,459.750,57.500
157,276.800,60.200
158,365.000,58.333
159,377.000,60.000
160,589.538,65.154
161,91.000,61.000
162,151.400,62.200
163,160.750,62.750
164,212.000,61.750
165,219.750,62.250
166,236.333,62.000
167,444.000,60.667
168,1.000,63.000
169,56.500,62.500
170,233.667,63.667
171,329.000,62.667
172,333.400,64.600
173,396.500,64.500
174,428.667,63.667
175,223.667,65.333
176,267.000,64.667
177,351.000,65.000
178,354.000,65.333
179,465.143,66.000
180,489.000,64.667
181,529.800,65.800
182,571.333,64.667
183,607.667,66.000
184,610.667,65.000
185,4.333,67.000
186,42.600,67.800
187,411.667,66.667
188,0.000,69.000
189,111.000,69.000
190,186.000,69.667
191,247.000,69.333
192,260.400,68.200
193,283.000,69.333
194,289.333,70.000
195,353.333,70.000
196,441.750,69.500
197,462.600,69.800
198,637.400,69.800
199,21.000,71.000
200,24.000,71.000
201,66.000,71.667
202,253.500,71.750
203,272.000,71.000
204,368.000,70.333
205,17.667,74.000
206,181.333,74.000
207,307.500,74.000
208,414.000,72.333
209,535.000,73.750
210,577.000,73.333
211,30.000,74.667
212,49.750,75.000
213,317.333,75.667
214,426.000,76.000
215,451.500,74.500
216,480.000,74.333
217,619.333,76.000
218,35.000,76.667
219,109.667,77.000
220,363.250,78.250
221,407.667,78.667
222,560.800,78.400
223,19.000,80.667
224,107.333,82.000
225,236.750,82.500
226,244.000,81.500
227,378.750,81.750
228,397.000,82.000
229,417.000,81.333
230,429.750,82.500
231,453.000,80.667
232,511.000,82.000
233,77.800,84.733
234,221.000,84.000
235,483.000,82.667
236,516.500,83.750
237,543.800,84.200
238,51.667,86.000
239,101.333,85.000
240,157.000,86.000
241,211.500,86.000
242,319.000,86.000
243,334.000,85.000
244,363.750,84.750
245,454.500,85.250
246,564.000,86.000
247,588.000,85.000
248,592.000,84.667
249,66.667,87.000
250,104.333,87.000
251,185.667,88.000
252,322.333,87.667
253,401.000,86.333
254,411.667,88.000
255,416.000,86.000
256,433.000,87.667
257,519.000,87.000
258,31.000,90.000
259,547.667,89.333
260,586.500,90.500
261,238.667,91.000
262,75.909,93.727
263,130.000,93.500
264,160.000,92.333
265,225.375,93.250
266,358.000,94.000
267,471.667,93.667
268,511.400,93.800
269,522.000,94.000
270,590.250,93.000
271,314.667,95.667
272,572.000,94.000
273,90.200,98.400
274,324.333,96.667
275,425.000,97.667
276,482.667,96.667
277,507.500,97.333
278,617.500,98.667
279,187.000,100.400
280,223.000,99.000
281,511.000,99.333
282,543.667,99.667
283,562.333,99.667
284,607.333,100.000
285,24.500,101.500
286,127.333,101.000
287,180.000,101.667
288,404.000,102.200
289,434.333,101.000
290,529.000,101.667
291,550.000,102.250
292,626.000,101.333
293,39.500,103.000
294,59.667,102.333
295,144.000,102.333
296,266.000,103.000
297,446.800,104.600
298,593.333,103.000
299,85.250,106.500
300,110.000,105.333
301,170.667,105.000
302,430.333,105.000
303,555.500,105.250
304,600.000,105.000
305,375.000,107.667
306,396.333,107.333
307,412.667,107.667
308,499.000,106.333
309,540.286,108.429
310,626.250,108.000
311,59.333,109.667
312,99.750,109.250
313,324.167,109.667
314,341.400,110.200
315,361.000,110.000
316,5.667,111.000
317,119.667,112.000
318,317.000,113.167
319,21.667,114.000
320,50.000,113.333
321,58.000,112.333
322,217.000,112.667
323,269.333,112.333
324,322.333,114.000
325,390.667,112.667
326,396.000,113.000
327,567.000,112.333
328,590.000,113.667
329,72.000,115.333
330,157.000,115.000
331,354.333,116.000
332,365.250,116.500
333,27.250,116.750
334,215.000,116.667
335,253.667,117.333
336,420.333,116.333
337,480.000,116.667
338,17.000,120.000
339,214.250,120.000
340,276.333,119.667
341,477.333,119.000
342,571.333,119.000
343,51.000,120.333
344,185.000,120.667
345,385.333,121.000
346,464.667,121.000
347,585.333,122.000
348,132.200,122.600
349,188.333,122.333
350,319.750,123.250
351,421.000,123.500
352,24.333,126.000
353,214.500,125.500
354,433.250,126.000
355,457.667,125.000
356,538.250,125.500
357,15.000,126.333
358,53.000,127.000
359,186.000,127.500
360,469.000,126.333
361,504.400,127.400
362,56.235,130.824
363,154.000,129.000
364,228.000,129.000
365,357.500,128.833
366,378.667,128.667
367,392.833,129.833
368,486.167,129.167
369,535.000,128.667
370,131.000,132.800
371,292.667,130.333
372,426.333,131.000
373,489.750,132.333
374,59.750,134.000
375,71.667,132.333
376,352.333,133.000
377,461.000,133.000
378,557.200,134.800
379,37.250,135.000
380,117.500,135.000
381,258.667,135.667
382,320.667,135.000
383,479.667,135.000
384,128.333,137.000
385,240.250,137.500
386,275.000,136.400
387,283.333,137.000
388,374.000,136.667
389,537.000,136.667
390,598.000,137.667
391,116.000,139.500
392,136.500,140.000
393,163.800,140.200
394,384.000,138.333
395,529.000,140.000
396,545.000,138.333
397,590.000,139.667
398,634.000,139.000
399,132.000,141.500
400,371.333,140.333
401,83.667,143.000
402,424.500,144.500
403,600.333,144.000
404,31.333,146.000
405,71.333,145.000
406,158.600,146.400
407,177.667,144.667
408,29.333,148.000
409,87.333,148.000
410,147.750,148.250
411,178.667,147.333
412,227.000,147.000
413,339.333,147.000
414,348.000,147.333
415,360.667,147.333
416,369.333,147.333
417,592.500,146.500
418,20.333,149.000
419,234.667,149.333
420,272.333,149.000
421,327.000,149.333
422,337.000,150.250
423,540.800,151.000
424,581.500,149.000
425,4.333,151.000
426,401.667,151.667
427,404.333,151.667
428,425.667,150.667
