id,ra_deg,dec_deg,u,v,mag,electrons_deposited
1,0.01367775,1.08901332,319.715,217.298,9.100,1.145434
6,0.27212160,3.94648893,314.328,157.609,12.310,0.059562
14,0.72407835,0.36042119,304.907,232.487,7.250,6.294627
18,0.79708845,4.05373813,303.385,155.356,11.030,0.193629
21,0.99353535,8.00723437,299.289,71.979,7.550,4.774963
31,1.47140850,2.67547768,289.324,184.174,7.630,4.435780
33,1.48771245,10.46245445,288.984,19.393,8.100,2.877200
44,1.99083450,3.30636174,278.487,170.965,7.910,3.427441
51,2.15085660,1.06619726,275.147,217.758,8.940,1.327303
56,2.44247625,0.22293899,269.059,235.349,8.120,2.824685
81,3.65796645,4.93211471,243.651,136.731,8.570,1.866251
82,3.72047595,10.93580540,242.342,8.761,9.500,0.792447
87,3.92273340,5.83497569,238.108,117.669,7.800,3.792888
91,4.20852705,5.87433293,232.121,116.794,7.660,4.314893
93,4.38333825,0.07592034,228.456,238.413,8.120,2.824685
109,5.19903015,6.79149102,211.335,97.186,7.230,6.411653
118,5.79728685,9.43003605,198.749,40.629,9.200,1.044648
129,6.23403510,5.37275092,189.544,127.014,9.320,0.935341
134,6.37710825,1.13997217,186.526,216.088,9.960,0.518764
135,6.40118880,0.21749947,186.018,235.438,8.640,1.749726
145,6.83983680,3.02747891,176.751,176.385,5.130,44.357801
154,7.34947590,6.01397169,165.964,113.142,4.370,89.324379
157,7.50491520,5.21399723,162.669,130.078,8.510,1.972287
159,7.66216725,2.76616306,159.333,181.778,6.930,8.452205
168,8.00282880,2.81984528,152.098,180.598,9.560,0.749842
180,8.56353465,9.17489501,140.163,44.935,8.470,2.046303
184,8.84663475,11.00634091,134.124,4.926,8.480,2.027543
185,8.85225300,10.78564387,134.004,9.751,8.530,1.936288
186,9.01046880,8.95683360,130.625,49.419,6.330,14.688248
187,9.03171270,6.05918213,130.171,111.640,8.990,1.267564
188,9.03756780,6.33313676,130.046,105.788,8.640,1.749726
190,9.08334630,10.77665206,129.067,9.801,8.740,1.595769
192,9.29746755,8.39393024,124.487,61.431,8.160,2.722513
194,9.35984070,8.48557854,123.152,59.420,5.700,26.240373
205,9.68566695,5.18664439,116.170,130.027,8.540,1.918536
210,9.93223005,8.48794379,110.877,59.062,9.050,1.199416
219,10.35343875,6.03445242,101.816,111.663,8.560,1.883519
223,10.44377880,3.86040514,99.870,158.055,9.010,1.244429
224,10.44616755,2.13037640,99.818,194.826,7.170,6.775947
