id,x,y,area,peak,snr
0,639.549319,383.415316,28,9.467897,2.883
1,118.389124,38.137936,49,5.465206,2.045
2,638.237972,478.220422,16,3.428681,2.025
3,205.012243,478.768131,28,5.398693,2.016
4,428.970025,49.464227,49,6.414072,1.950
5,555.239572,26.620133,49,4.405613,1.941
6,640.041288,108.015048,28,3.439062,1.923
7,604.326741,483.688413,28,3.424837,1.906
8,567.955200,445.732840,49,4.429835,1.869
9,487.376384,59.540661,49,4.434448,1.850
10,221.294748,1.544239,28,4.450980,1.847
11,399.954859,1.971968,28,3.450211,1.846
12,249.382052,317.712834,49,4.421376,1.845
13,409.842332,479.734444,28,3.466359,1.825
14,302.949868,478.046017,28,3.393695,1.813
15,638.287469,440.088957,28,4.484045,1.797
16,0.985286,164.337502,28,4.417916,1.765
17,502.973691,385.401266,49,7.436755,1.763
18,170.481193,358.417866,49,4.469050,1.760
19,251.873979,253.763578,49,6.432141,1.755
20,210.268816,36.746397,49,3.450980,1.755
21,461.885739,367.241664,49,5.420607,1.753
22,99.224233,82.702567,49,5.437140,1.751
23,360.780496,322.526518,49,5.402153,1.748
24,204.993376,53.312838,49,7.447520,1.740
25,225.193422,478.946016,28,6.383699,1.740
26,188.469388,194.068216,49,4.447520,1.735
27,120.140643,96.608672,49,4.449058,1.732
28,326.241366,87.747535,49,3.424837,1.729
29,16.719745,374.454846,49,3.460977,1.725
30,169.324880,438.351002,49,4.429066,1.724
31,607.000947,339.759832,49,3.427912,1.723
32,280.838942,365.929685,49,3.423683,1.721
33,240.038059,3.612548,49,4.423299,1.716
34,291.107292,476.677642,35,5.390235,1.715
35,282.214785,177.349072,49,4.465590,1.705
36,479.308026,92.652358,49,6.439062,1.705
37,254.705880,331.823959,49,5.441369,1.699
38,240.089197,479.126681,28,2.418301,1.691
39,480.959252,175.272842,49,5.413303,1.691
40,628.067389,127.061829,49,5.432141,1.680
41,90.848931,28.529592,49,4.442907,1.672
42,-0.701931,81.648875,28,3.397539,1.671
43,638.253795,192.799265,28,3.441753,1.661
44,59.120453,58.627853,49,4.457132,1.660
45,190.000000,0.000000,28,3.447520,1.658
46,620.643524,250.531684,49,5.445598,1.658
47,273.309097,480.308259,28,2.407151,1.657
48,164.359185,237.196170,49,4.430219,1.656
49,14.058553,479.705500,35,6.477509,1.652
50,155.806695,66.018229,49,4.428297,1.651
51,167.817236,386.670932,49,4.444444,1.650
52,184.471524,162.449860,49,3.466744,1.649
53,637.610237,300.403258,28,4.425606,1.647
54,358.719910,33.671523,49,4.428681,1.640
55,544.662562,75.842469,49,5.455978,1.639
56,0.293072,117.023187,28,4.396002,1.635
57,570.270841,158.318488,49,6.430604,1.635
58,612.785703,310.303779,49,4.417147,1.631
59,172.246124,-0.363823,28,3.457132,1.631
60,59.119542,161.224657,49,4.418301,1.628
61,209.192568,329.284521,49,3.444829,1.628
62,438.380803,13.542491,49,5.437524,1.627
63,311.061359,83.310387,49,5.409073,1.626
64,214.759092,179.721349,49,4.432910,1.616
65,330.842872,312.240557,49,5.446751,1.615
66,429.135949,279.626162,49,3.455210,1.614
67,451.679802,323.846114,49,4.446751,1.612
68,436.808526,472.795287,49,5.444060,1.610
69,578.049023,398.411416,49,7.437524,1.609
70,119.931673,472.956350,49,3.438677,1.606
71,337.140348,59.303700,49,5.432141,1.605
72,512.202212,465.204142,49,5.405613,1.605
73,-0.687195,36.329328,28,5.428681,1.605
74,635.193617,469.806175,49,5.437524,1.601
75,244.084505,304.978686,49,5.412534,1.599
76,625.533231,272.897106,49,3.418685,1.596
77,576.828663,422.290023,49,4.427528,1.595
78,473.008903,-4.264371,28,4.465206,1.594
79,467.061379,83.504093,49,7.424452,1.594
80,582.367273,176.409026,49,4.424452,1.592
81,101.376590,497.294535,28,3.456747,1.592
82,55.944923,39.091060,49,3.446751,1.590
83,468.124934,378.138265,49,4.434448,1.590
84,575.923097,306.906029,49,5.465975,1.589
85,380.923627,251.605692,49,4.444444,1.588
86,233.635454,406.954154,49,4.436371,1.587
87,383.228087,285.860942,49,5.417916,1.587
88,492.043847,291.891755,49,5.433295,1.586
89,574.836592,234.315198,49,3.469050,1.584
90,235.480379,327.049519,49,5.423683,1.584
91,311.917085,292.907185,49,4.455594,1.582
92,548.830452,408.126486,49,3.423683,1.582
93,299.790425,166.726153,49,3.422145,1.581
94,536.702067,100.209240,49,4.486351,1.580
95,535.534014,84.783029,49,3.455978,1.578
96,624.766381,171.563440,49,3.429066,1.575
97,603.229844,46.611033,49,5.437524,1.575
98,636.914684,344.088460,28,3.399077,1.575
99,392.358917,109.363981,49,4.465975,1.574
