id,ra_deg,dec_deg,mag,x,y,z,u,v
31,359.99995299,-0.00000193,7.63,1,-8.20432029225e-07,-3.36242634968e-08,620.847,252.330
32,359.99999624,-0.00001329,9.09,1,-6.55673136014e-08,-2.32007418128e-07,344.043,325.075
41,0.00001715,-0.00000453,8.70,1,2.99255945122e-07,-7.90170192176e-08,210.265,268.975
40,359.99997120,-0.00003063,10.61,1,-5.02682739235e-07,-5.346257896e-07,504.330,436.044
59,359.99999740,-0.00000983,9.09,1,-4.53927555773e-08,-1.71483743834e-07,336.645,302.882
78,359.99999509,0.00003545,8.06,1,-8.57418725138e-08,6.18686448342e-07,351.441,13.132
83,359.99997977,-0.00000954,8.85,1,-3.53054767e-07,-1.66440104309e-07,449.463,301.032
89,0.00000655,0.00000029,7.87,1,1.14322495889e-07,5.04363952452e-09,278.079,238.151
98,359.99997987,0.00001638,9.87,1,-3.51373553609e-07,2.85806239723e-07,448.846,135.197
113,359.99999721,-0.00001898,8.93,1,-4.87551814705e-08,-3.31198995444e-07,337.878,361.448
124,359.99997303,-0.00001291,5.58,1,-4.70739688364e-07,-2.25282565429e-07,492.617,322.610
137,0.00004922,-0.00001705,6.25,1,8.59099932344e-07,-2.97574731947e-07,4.974,349.119
139,359.99996532,-0.00000424,10.03,1,-6.05236743634e-07,-7.3973379693e-08,541.936,267.126
172,359.99998603,-0.00001570,9.05,1,-2.43775909926e-07,-2.74037747499e-07,409.391,340.488
196,0.00000308,-0.00001397,8.95,1,5.37988215949e-08,-2.43775910352e-07,300.272,329.391
207,0.00003198,0.00001098,5.87,1,5.58162774047e-07,1.91658301932e-07,115.326,169.720
214,0.00000010,-0.00000058,8.17,1,1.68121317484e-09,-1.0087279049e-08,319.384,243.699
234,0.00003689,-0.00002928,9.64,1,6.43904645964e-07,-5.11088805152e-07,83.885,427.413
239,0.00004855,-0.00002090,8.56,1,8.4733144012e-07,-3.64823258941e-07,9.290,373.778
244,0.00001753,-0.00003140,7.90,1,3.05980797821e-07,-5.48075494998e-07,207.799,440.975
264,359.99999229,-0.00001358,8.42,1,-1.34497053739e-07,-2.37051057653e-07,369.319,326.925
268,359.99996503,-0.00002591,8.18,1,-6.10280382918e-07,-4.52246344032e-07,543.786,405.836
273,359.99997881,-0.00001272,11.14,1,-3.69866898243e-07,-2.21920139079e-07,455.628,321.377
274,359.99996850,-0.00001763,6.24,1,-5.49756707958e-07,-3.07662010996e-07,521.592,352.818
278,359.99999085,-0.00000655,7.94,1,-1.59715251936e-07,-1.14322495889e-07,378.566,281.921
279,359.99998613,0.00000819,8.69,1,-2.42094697423e-07,1.42903119862e-07,408.774,187.598
312,359.99998777,-0.00002341,8.59,1,-2.13514073333e-07,-4.08534801486e-07,398.294,389.807
319,359.99997842,-0.00000472,8.19,1,-3.76591750918e-07,-8.23794455672e-08,458.094,270.208
330,359.99999046,-0.00000356,5.90,1,-1.6644010461e-07,-6.22048874691e-08,381.032,262.810
334,359.99995319,-0.00001599,8.79,1,-8.17069602444e-07,-2.79081387024e-07,619.614,342.337
344,359.99995983,-0.00002678,10.66,1,-7.01065893583e-07,-4.67377262606e-07,577.076,411.384
360,359.99997091,0.00000299,9.26,1,-5.07726379407e-07,5.21176084201e-08,506.180,220.889
363,359.99995598,-0.00002447,8.12,1,-7.68314421218e-07,-4.2702814641e-07,601.736,396.588
367,0.00001281,0.00000433,9.13,1,2.23601352254e-07,7.56545928679e-08,238.007,212.258
386,359.99999095,-0.00001108,9.10,1,-1.58034038545e-07,-1.93339515107e-07,377.950,310.896
390,359.99995627,-0.00002148,11.67,1,-7.63270781934e-07,-3.7491053799e-07,599.886,377.477
401,359.99996532,-0.00003689,8.66,1,-6.05236743634e-07,-6.43904645964e-07,541.936,476.115
405,0.00000376,-0.00002216,8.15,1,6.55673138188e-08,-3.86679030214e-07,295.957,381.792
