id,ra_deg,dec_deg,u,v,mag,electrons_deposited
31,359.99995299,-0.00000193,620.847,252.330,7.630,4.435780
32,359.99999624,-0.00001329,344.043,325.075,9.090,1.156032
41,0.00001715,-0.00000453,210.265,268.975,8.700,1.655656
40,359.99997120,-0.00003063,504.330,436.044,10.610,0.285082
59,359.99999740,-0.00000983,336.645,302.882,9.090,1.156032
78,359.99999509,0.00003545,351.441,13.132,8.060,2.985176
83,359.99997977,-0.00000954,449.463,301.032,8.850,1.442016
89,0.00000655,0.00000029,278.079,238.151,7.870,3.556068
98,359.99997987,0.00001638,448.846,135.197,9.870,0.563599
113,359.99999721,-0.00001898,337.878,361.448,8.930,1.339584
124,359.99997303,-0.00001291,492.617,322.610,5.580,29.306908
137,0.00004922,-0.00001705,4.974,349.119,6.250,15.811388
139,359.99996532,-0.00000424,541.936,267.126,10.030,0.486374
172,359.99998603,-0.00001570,409.391,340.488,9.050,1.199416
196,0.00000308,-0.00001397,300.272,329.391,8.950,1.315134
207,0.00003198,0.00001098,115.326,169.720,5.870,22.437269
214,0.00000010,-0.00000058,319.384,243.699,8.170,2.697553
234,0.00003689,-0.00002928,83.885,427.413,9.640,0.696578
239,0.00004855,-0.00002090,9.290,373.778,8.560,1.883519
244,0.00001753,-0.00003140,207.799,440.975,7.900,3.459155
264,359.99999229,-0.00001358,369.319,326.925,8.420,2.142743
268,359.99996503,-0.00002591,543.786,405.836,8.180,2.672822
273,359.99997881,-0.00001272,455.628,321.377,11.140,0.174973
274,359.99996850,-0.00001763,521.592,352.818,6.240,15.957689
278,359.99999085,-0.00000655,378.566,281.921,7.940,3.334034
279,359.99998613,0.00000819,408.774,187.598,8.690,1.670975
312,359.99998777,-0.00002341,398.294,389.807,8.590,1.832188
319,359.99997842,-0.00000472,458.094,270.208,8.190,2.648317
330,359.99999046,-0.00000356,381.032,262.810,5.900,21.825792
334,359.99995319,-0.00001599,619.614,342.337,8.790,1.523947
344,359.99995983,-0.00002678,577.076,411.384,10.660,0.272251
360,359.99997091,0.00000299,506.180,220.889,9.260,0.988485
363,359.99995598,-0.00002447,601.736,396.588,8.120,2.824685
367,0.00001281,0.00000433,238.007,212.258,9.130,1.114218
386,359.99999095,-0.00001108,377.950,310.896,9.100,1.145434
390,359.99995627,-0.00002148,599.886,377.477,11.670,0.107392
401,359.99996532,-0.00003689,541.936,476.115,8.660,1.717790
405,0.00000376,-0.00002216,295.957,381.792,8.150,2.747704
411,0.00001194,-0.00001117,243.555,311.513,9.830,0.584750
421,0.00000000,0.00000000,320.000,240.000,8.830,1.468825
479,359.99995935,-0.00000559,580.158,275.756,10.070,0.468781
498,359.99997929,0.00000520,452.545,206.710,7.930,3.364883
503,0.00004431,-0.00000867,36.415,295.484,7.890,3.491162
506,0.00001801,-0.00000096,204.717,246.165,8.660,1.717790
508,359.99997120,-0.00002495,504.330,399.671,6.650,10.938808
