id,x,y,area,peak,snr
0,320.003714,239.998347,49,65135.724731,63.337
7,247.993014,197.628134,49,2.717032,1.822
9,217.487017,187.827974,49,1.708958,1.811
12,210.998490,322.168386,49,1.693195,1.759
22,226.038314,271.965156,49,1.706267,1.704
27,233.060900,315.238163,49,1.699346,1.678
30,286.009976,334.376266,49,2.710880,1.669
34,344.587767,372.725382,49,1.715494,1.657
44,228.444238,196.878062,49,1.707805,1.635
50,392.467011,183.954061,49,2.703191,1.624
55,398.732329,325.106150,49,2.689350,1.613
57,304.556524,135.911382,49,2.692042,1.609
64,467.364487,250.627652,49,2.706267,1.591
68,215.632640,291.433658,49,1.688197,1.586
74,435.124785,332.067355,49,2.692426,1.580
75,190.064534,216.968119,49,1.686659,1.578
79,443.179945,162.910283,49,1.700884,1.573
80,210.796143,275.615871,49,1.699731,1.573
81,419.720794,260.222496,49,2.719339,1.570
87,235.674225,138.990998,49,1.695117,1.565
89,442.025058,177.541777,49,1.696655,1.564
92,453.969797,179.028841,49,1.702807,1.559
95,343.018183,324.321060,49,1.711649,1.557
101,294.985951,171.908971,49,1.689735,1.553
108,217.387002,227.969723,49,2.688197,1.545
109,378.506148,352.313740,49,1.708189,1.545
110,262.864804,238.343204,49,1.727028,1.544
117,237.759043,299.281277,49,1.697040,1.541
122,426.246811,297.846263,49,2.696271,1.536
123,256.123200,120.531867,49,1.715494,1.535
127,403.586386,229.606757,49,1.706267,1.533
130,382.516797,368.436498,49,1.706267,1.533
141,275.708839,243.302159,49,1.723568,1.525
151,312.080762,343.290002,49,1.718185,1.518
152,306.553434,366.215024,49,1.718185,1.518
154,355.535712,158.972126,49,1.714725,1.517
157,206.963934,241.574294,49,1.703576,1.516
158,366.119048,212.538523,49,2.703191,1.516
163,413.148723,288.827969,49,1.708574,1.512
167,333.743851,319.227585,49,1.718185,1.506
170,277.739197,327.961998,49,1.705113,1.504
