x,y,area,peak
320.008811,239.898856,172222,65535.0
160.999753,142.049808,9,3726.0
55.756125,-13.678498,3,4741.0
120.629584,5.283939,3,2699.0
528.820434,8.890107,3,6348.0
75.589893,23.999947,3,5743.0
390.845651,28.000050,3,5648.0
303.997963,-12.505726,4,4213.0
9.344014,41.145197,3,5808.0
103.441395,39.998907,5,3202.0
23.294592,61.004502,5,2078.0
104.558202,51.893320,4,3634.0
124.999974,51.996906,3,4201.0
-41.384719,133.106602,5,3924.0
171.000115,61.030562,4,3141.0
406.355590,30.819263,3,2450.0
481.529540,73.136358,5,3466.0
309.802102,72.553882,3,4429.0
28.874293,56.671210,4,3322.0
142.369790,89.013019,11,4465.0
526.382733,99.386793,3,3659.0
-566.235163,5732.841128,3,2712.0
67.907969,141.487875,3,1815.0
130.150670,106.295392,4,2991.0
160.263898,111.654229,6,6876.0
-11791.789878,8319.850134,3,2831.0
136.886873,209.022346,5,4889.0
157.675885,113.328278,3,2237.0
511.830168,124.999264,4,2907.0
122.762763,129.887602,12,6557.0
274.543236,128.750753,3,5086.0
343.592222,134.763658,7,3522.0
380.515627,125.832134,4,3926.0
293.999950,168.924487,4,6821.0
393.604892,193.799214,6,3472.0
411.365464,191.098396,3,2834.0
321.946466,194.850394,3,3459.0
332.999156,182.196475,3,3158.0
25.000136,203.999994,4,9862.0
505.000005,208.000043,4,8955.0
130.029369,212.001518,6,7730.0
24.780441,210.944189,3,3106.0
592.184137,199.568550,3,1584.0
86.162985,225.583741,4,3258.0
131.927444,302.884048,3,1593.0
804.396574,118.968603,3,4327.0
33.390320,240.604302,4,3550.0
567.369692,224.721741,3,5290.0
71.678250,265.220402,3,2262.0
559.999834,266.569313,7,4085.0
585.440058,234.146008,3,4302.0
235.036067,230.997821,4,4741.0
10.863050,530.151180,9,2450.0
399.312315,295.488086,3,2217.0
-183.745828,293.867290,3,2877.0
496.807050,295.351474,3,1909.0
549.789389,301.146363,4,2858.0
652.369707,318.002641,3,4069.0
497.064646,333.202334,3,3483.0
230.601196,330.873417,8,3716.0
504.126174,334.930126,5,7969.0
143.327815,340.509256,4,3888.0
587.342808,344.567585,4,5319.0
459.523572,347.001018,3,4623.0
555.001972,359.030388,19,5966.0
624.042714,378.604705,10,2546.0
597.565252,374.999991,6,3743.0
-1215.401134,383.000049,5,3240.0
41.999974,386.000197,8,6414.0
564.888667,388.466331,4,4578.0
476.099911,201.216535,4,5101.0
65.942793,401.349213,4,5091.0
1330.012255,570.469283,3,4072.0
546.292685,454.186745,3,1175.0
245.837507,455.818058,4,4396.0
517.788116,465.277735,6,6809.0
619.871718,518.310502,4,4404.0
