u,v,mag,electrons
550.7051630304901,246.70895552697166,8.65,1036.2694300518135
595.070761945807,250.56658470775335,8.56,1046.0251046025105
592.7847480531934,268.626014762863,4.78,1730.1038062283735
611.7932457111756,274.9303398493257,8.66,1035.1966873706003
464.9145904905513,265.85560660649156,7.29,1206.2726176115802
634.2281433266584,296.0707678020955,9.26,974.6588693957116
521.1601467000436,276.913361016084,7.74,1144.1647597254005
520.9633966898218,277.4732156724605,9.86,920.8103130755065
551.9366095624798,294.4836198673641,9.23,977.5171065493646
515.1779516523013,292.43646749670285,7.91,1122.334455667789
597.2907350727718,325.2548565487455,8.93,1007.0493454179255
586.0906017012708,322.18581864522173,9.09,991.0802775024778
493.5243603839355,294.16052077613466,9.13,987.1668311944718
532.8008307046371,318.01922108043686,7.71,1148.105625717566
592.9175306352563,341.8833863470966,11.99,769.8229407236336
592.3312164882814,343.79662096267225,8.78,1022.4948875255625
494.4665071928845,309.0255498248949,9.21,979.431929480901
540.586448341699,328.83771270261286,9.44,957.8544061302682
433.83872434938695,287.7616300413183,8.51,1051.5247108307046
360.45020992448525,257.3469883841613,8.94,1006.036217303823
624.1672799568549,376.5628070502713,9.85,921.6589861751153
405.8018942681808,283.026811975266,8.2,1086.9565217391305
570.7539192741931,368.21026562050906,7.56,1168.2242990654208
554.165990556765,363.8218406351834,8.4,1063.8297872340424
392.6433603796243,279.52169558686387,7.39,1191.8951132300356
535.9534787045452,364.46626451572484,7.79,1137.656427758817
528.5194251939729,360.496061147277,7.18,1222.4938875305625
604.5273154981483,420.73221504560354,7.38,1193.3174224343677
603.9551144698211,422.6185001819565,7.44,1184.8341232227485
386.8145003844802,283.1984481911049,11.01,832.6394671107411
376.23446380418596,276.46474162064106,8.41,1062.6992561105208
497.54811822257705,364.2711407560447,6.01,1426.5335235378031
511.7840032029753,385.96050523566623,8.78,1022.4948875255625
449.1364810819811,339.5987016104948,5.29,1589.825119236884
529.823013540002,402.1706038063768,9.08,992.063492063492
503.45479934382917,382.1787645590937,7.88,1126.1261261261263
385.61587876885983,290.87381138651597,9.4,961.5384615384615
416.61580224055604,315.0164945949897,8.38,1066.0980810234541
514.8794517311275,392.25432877074786,6.97,1254.7051442910915
591.4580209573662,461.51508773749595,9.87,919.9632014719411
596.2111198655332,470.9020244396654,6.66,1305.4830287206266
589.1907299100588,469.2591760849283,9.4,961.5384615384615
360.2059587442508,275.94859655481486,8.85,1015.2284263959391
563.9428391441967,464.527211029333,7.15,1226.993865030675
469.92812329497576,382.503566459064,7.21,1218.0267965895248
539.8594413615206,457.65126939559946,7.49,1177.8563015312131
343.23302436774173,265.0058108432066,7.22,1216.5450121654503
401.28075466501525,334.4238237945698,9.02,998.0039920159682
387.28112826675726,320.10237850940314,5.78,1474.9262536873157
443.23966923952696,392.8043005678901,11.14,823.7232289950576
500.24549538011405,476.25820801978045,7.17,1223.9902080783354
458.25755556586626,452.442590190972,8.17,1090.5125408942204
336.5015420745379,268.9622639540786,9.12,988.1422924901186
424.6130190717993,426.4378214253006,6.59,1317.5230566534915
427.5060543912684,451.1024048536891,6.78,1285.3470437017995
398.6733472770097,396.31429928281517,8.67,1034.126163391934
366.3374531267984,334.6986566926089,7.8,1136.3636363636363
409.36454911130323,448.79799317228685,7.92,1121.0762331838564
374.7928082136637,374.61390221764884,9.76,929.368029739777
369.70399965256047,369.66662227606696,8.19,1088.139281828074
330.4543424440666,287.517512624651,8.73,1027.749229188078
355.9572086566084,412.3850736278242,9.58,945.179584120983
338.21300246531297,464.64284099242366,9.81,925.0693802035153
335.2235895067273,441.20931838713466,10.8,847.457627118644
330.7934918839016,392.95697882203274,9.42,959.6928982725528
293.3665259519067,381.2035114869326,8.03,1107.419712070875
277.50015382944594,445.1020439662282,6.53,1328.0212483399735
255.2078054838039,419.67716986282346,11.37,808.4074373484236
247.05511521772434,440.32811451473333,10.48,871.0801393728223
241.53834673821314,403.27044285388797,8.15,1092.8961748633878
184.09350722040978,451.51600105463547,8.88,1012.1457489878542
184.39870174575879,437.28319356693123,9.11,989.1196834817014
215.87652453465319,377.79709149155235,10.42,875.6567425569177
144.39571254208798,438.1179366199475,8.31,1074.1138560687432
273.7634153928061,290.88096568553436,8.81,1019.367991845056
228.33231730742136,336.7631480561273,7.94,1118.5682326621923
163.7041196632422,403.98651701354845,9.31,969.9321047526672
93.72614751434588,470.37237621525776,8.35,1069.51871657754
108.39598532614224,455.17068305916337,9.7,934.5794392523366
94.50289667851203,450.05765148197986,8.01,1109.8779134295228
103.45935317612424,434.2751174885749,6.72,1295.3367875647668
145.8004557425063,390.7336282784088,10.09,901.7132551848513
