x,y,area
41.0,0.8461538461538461,13
93.0,1.3333333333333333,18
119.06896551724138,2.5344827586206895,58
191.97619047619048,2.380952380952381,42
208.52173913043478,2.3043478260869565,46
303.0,2.0,21
314.0,1.3333333333333333,18
324.0,1.3333333333333333,18
350.0,1.3333333333333333,18
378.0,1.3333333333333333,18
411.0,1.3333333333333333,18
434.6545454545454,4.127272727272727,55
456.0,0.8461538461538461,13
474.0,1.3333333333333333,18
514.0,3.0,21
522.5,2.0,26
538.5,3.5,42
556.0566037735849,4.943396226415095,53
574.0,2.5,40
591.0,1.3333333333333333,18
54.5,5.0,42
64.0,4.0,21
135.0,5.0,35
248.0,4.0,21
262.0,4.0,21
274.6393442622951,9.59016393442623,61
406.0,5.0,21
586.0,5.0,21
598.0,4.0,21
26.0,7.0,21
70.6590909090909,8.227272727272727,44
112.8157894736842,8.960526315789474,76
371.03636363636366,9.527272727272727,55
456.0373831775701,14.16822429906542,107
612.0,6.0,21
628.7586206896551,9.775862068965518,58
17.0,8.0,21
80.5,10.5,36
149.0,8.0,21
190.0,9.0,21
235.5,10.5,42
311.1454545454545,12.4,55
333.8125,8.421875,64
384.0,8.0,21
413.6,10.142857142857142,35
420.0,8.0,21
467.3220338983051,9.694915254237289,59
498.0,8.0,21
594.0,9.0,21
168.5,12.5,36
267.0,10.0,21
487.0,11.0,21
574.5,12.5,40
37.0,12.0,21
104.0,13.0,21
176.0,12.0,21
255.0,12.0,21
281.16,16.14,50
299.0,13.0,35
504.0,13.0,21
63.3859649122807,18.05263157894737,57
94.88479262672811,22.76036866359447,217
153.66666666666666,16.444444444444443,54
209.5,16.5,42
345.2761904761905,21.085714285714285,105
19.48076923076923,19.96153846153846,52
142.01694915254237,18.694915254237287,59
189.00980392156862,18.470588235294116,102
223.5,17.0,32
366.0,17.0,21
431.0,17.5,42
491.5,16.0,26
511.0,17.0,21
526.8415841584158,21.752475247524753,101
606.5,17.5,42
4.0,18.0,21
44.689655172413794,19.379310344827587,58
174.0,18.0,31
304.0,19.0,21
378.6393442622951,21.049180327868854,61
397.0,19.5,42
10.0,20.0,21
30.0,20.17391304347826,23
236.51041666666666,25.145833333333332,96
244.0,21.0,21
449.22857142857146,23.442857142857143,70
569.0,22.5,42
584.8727272727273,22.381818181818183,55
614.0,21.0,21
118.0,24.5,42
126.0,23.0,21
218.88888888888889,22.88888888888889,27
321.6981132075472,26.80188679245283,106
540.5227272727273,24.477272727272727,44
594.0,23.0,21
168.0,25.0,21
266.0,25.0,21
277.0,24.0,21
355.0,24.0,21
495.7307692307692,24.596153846153847,52
507.0,24.0,21
598.9508196721312,28.737704918032787,61
630.9866666666667,26.64,75
34.0,27.0,21
77.53623188405797,30.405797101449274,69
157.82608695652175,26.0,23
175.6153846153846,29.046153846153846,65
191.0,28.0,41
227.0,27.0,21
432.0,27.0,21
486.5,27.0,32
551.0,28.5,38
59.0,29.0,21
138.0,29.0,21
291.0,28.0,21
388.0,29.0,21
124.5,33.0,40
144.41071428571428,34.0,56
203.5,32.0,38
252.0,31.5,38
382.5068493150685,35.6986301369863,73
410.0,30.0,21
461.0,30.0,21
492.0,31.0,21
28.0,32.0,21
162.0,32.0,21
280.864406779661,35.03389830508475,59
362.5,34.5,44
478.5,33.5,28
513.0,32.0,21
559.5862068965517,33.86206896551724,58
6.5,36.0,42
34.0,35.0,21
55.0,37.88,50
134.0,35.0,21
217.9512195121951,36.03658536585366,82
336.0,35.05,40
397.984126984127,35.93650793650794,63
589.0,35.0,21
17.0,36.0,21
154.0,37.5,38
176.0,37.0,21
292.0,36.0,21
304.0,36.0,21
346.09090909090907,36.09090909090909,22
442.9710144927536,41.05797101449275,69
534.2857142857143,40.88775510204081,98
632.0,37.0,21
110.0,40.5,42
117.5,40.5,36
193.9090909090909,38.09090909090909,22
265.06382978723406,39.808510638297875,47
370.0,39.0,21
21.213333333333335,46.04,75
41.5,41.5,42
62.0,41.0,21
98.54838709677419,41.41935483870968,31
212.0,41.0,21
226.0,41.0,21
242.72131147540983,42.049180327868854,61
415.5,42.410714285714285,56
469.0,41.5,36
91.0,43.0,21
186.0,43.0,21
256.0,44.5,42
298.0,42.0,21
322.0,44.5,42
333.0,42.0,21
149.0,44.0,21
169.0,45.0,21
231.5,47.5,42
305.0,44.0,21
401.0,45.0,21
559.9090909090909,45.09090909090909,22
601.3333333333334,46.044444444444444,45
634.0,45.0,21
73.0,47.0,21
129.53424657534248,47.95890410958904,73
294.3536585365854,49.53658536585366,82
368.015873015873,50.53968253968254,63
378.15384615384613,50.43076923076923,65
551.0,46.0,21
579.0,46.0,21
181.86274509803923,57.666666666666664,102
241.0,50.0,43
395.0,49.0,21
407.0,48.0,21
457.36507936507934,52.111111111111114,126
487.0,48.0,21
520.5,48.5,36
573.7358490566038,53.65094339622642,106
591.4,53.6,105
86.0,51.0,21
174.5,50.5,36
202.0,50.0,21
386.0,51.0,21
437.0,50.0,21
473.0,51.0,21
6.185185185185185,54.2962962962963,54
60.93333333333333,55.233333333333334,60
77.12790697674419,57.604651162790695,86
105.0,53.0,21
112.0,53.0,21
154.27,57.61,100
327.64102564102564,57.75,156
414.0,53.05,40
431.0,53.0,21
497.0,53.0,21
509.0,54.5,42
552.0,53.0,21
122.66666666666667,58.666666666666664,63
237.0,55.0,21
267.0,55.0,21
527.53,62.06,100
618.24,57.06666666666667,75
35.0,56.0,21
202.0,56.0,21
258.0,57.0,21
358.2,60.81333333333333,75
493.38961038961037,59.83116883116883,77
637.6666666666666,57.0,18
140.0,59.0,21
191.0,60.0,41
275.0,58.0,21
286.0,58.0,21
406.8019801980198,64.27722772277228,101
440.0,58.0,21
544.25,61.125,56
632.0,58.0,21
41.203252032520325,65.76422764227642,123
90.0,61.0,21
111.44827586206897,60.41379310344828,29
216.0,61.0,21
348.0,61.0,21
447.0,61.0,21
454.0,61.0,21
474.0,61.0,21
608.0,61.0,21
