truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
2294,40.546,0.078,0,41.000,0.846,0.892
2371,93.344,1.453,1,93.000,1.333,0.365
2407,118.890,0.594,2,119.069,2.534,1.948
2512,190.266,2.616,3,191.976,2.381,1.726
2536,207.043,1.726,4,208.522,2.304,1.588
2668,302.761,1.832,5,303.000,2.000,0.292
2683,313.842,1.001,6,314.000,1.333,0.368
2700,323.674,1.426,7,324.000,1.333,0.339
2744,350.399,1.311,8,350.000,1.333,0.400
187,378.355,1.489,9,378.000,1.333,0.388
2822,410.909,0.835,10,411.000,1.333,0.507
2856,435.622,2.634,11,434.655,4.127,1.780
2876,456.089,0.351,12,456.000,0.846,0.503
2910,474.017,1.174,13,474.000,1.333,0.161
2969,514.380,2.824,14,514.000,3.000,0.419
2979,522.555,2.319,15,522.500,2.000,0.324
3003,535.893,4.942,16,538.500,3.500,2.979
3028,554.778,4.598,17,556.057,4.943,1.325
3044,572.413,1.633,18,574.000,2.500,1.809
3072,590.849,1.071,19,591.000,1.333,0.302
2308,56.856,4.530,20,54.500,5.000,2.403
155,63.894,4.210,21,64.000,4.000,0.235
2428,135.737,4.118,22,135.000,5.000,1.149
178,248.420,4.070,23,248.000,4.000,0.426
2616,261.528,3.577,24,262.000,4.000,0.634
2635,276.416,10.358,25,274.639,9.590,1.936
2819,406.358,5.004,26,406.000,5.000,0.358
3073,586.462,4.998,27,586.000,5.000,0.462
3090,597.617,3.778,28,598.000,4.000,0.443
2269,26.199,6.723,29,26.000,7.000,0.341
2315,70.812,10.244,30,70.659,8.227,2.023
2392,113.759,9.233,31,112.816,8.961,0.982
2772,370.908,9.948,32,371.036,9.527,0.440
196,456.417,14.889,33,456.037,14.168,0.814
3118,612.375,6.194,34,612.000,6.000,0.422
3141,626.689,9.179,35,628.759,9.776,2.154
2249,16.695,7.633,36,17.000,8.000,0.477
2332,80.344,12.074,37,80.500,10.500,1.582
2448,149.200,8.360,38,149.000,8.000,0.412
2505,189.783,8.925,39,190.000,9.000,0.230
2575,237.000,13.387,40,235.500,10.500,3.254
2677,310.766,14.329,41,311.145,12.400,1.966
2713,332.938,8.040,42,333.812,8.422,0.954
2790,383.729,8.450,43,384.000,8.000,0.526
2833,414.432,10.608,44,413.600,10.143,0.953
2839,420.193,8.165,45,420.000,8.000,0.254
2903,465.523,8.199,46,467.322,9.695,2.340
200,497.781,7.756,47,498.000,8.000,0.328
3092,593.800,8.843,48,594.000,9.000,0.254
