truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
39,320.000,240.000,1,320.199,240.147,0.247
611,561.047,5.734,2,560.374,5.810,0.677
9153,37.648,8.817,3,41.016,9.304,3.403
5050,44.429,14.365,4,46.513,15.385,2.320
5583,216.430,33.476,5,217.119,30.034,3.510
8145,157.247,34.093,6,156.087,32.709,1.806
7860,339.728,35.942,7,335.793,33.687,4.535
3636,547.484,58.136,8,544.941,55.861,3.412
5848,626.395,60.602,9,622.366,63.385,4.897
4998,246.021,76.630,10,246.859,76.158,0.962
9321,221.978,92.659,12,216.881,95.751,5.962
9362,146.150,116.086,13,146.871,113.997,2.210
3814,580.158,117.935,14,584.321,116.010,4.587
5502,557.348,114.853,15,553.219,116.408,4.412
6056,535.771,130.265,16,537.288,130.129,1.523
992,462.409,143.211,17,461.699,144.279,1.282
6061,161.562,161.706,18,159.036,162.897,2.793
1381,147.383,167.871,19,144.629,167.704,2.759
5282,146.150,176.502,20,141.093,173.406,5.929
5290,296.573,178.351,21,296.546,173.124,5.227
7329,442.681,175.885,22,445.519,176.035,2.842
2160,135.670,179.584,23,139.546,177.469,4.415
10065,1.275,216.573,24,7.406,215.668,6.197
4609,64.774,226.437,25,66.170,223.939,2.862
8062,238.007,234.452,26,239.672,232.106,2.877
2513,414.323,231.986,27,416.061,230.522,2.272
1333,151.698,235.685,28,154.248,235.691,2.550
7072,167.111,241.849,29,166.858,242.811,0.995
9778,522.208,243.699,30,525.352,244.074,3.166
5509,79.569,254.796,31,77.215,252.829,3.068
961,475.972,252.330,32,478.116,251.375,2.347
9074,358.222,251.097,33,362.321,253.521,4.762
3272,601.736,261.577,34,602.478,256.251,5.377
9127,100.530,260.961,35,99.640,258.071,3.024
7936,69.089,259.111,36,73.262,261.845,4.989
3007,450.079,272.674,37,450.203,273.325,0.663
9142,280.545,283.154,38,280.893,278.439,4.728
7353,473.506,277.606,39,471.203,280.429,3.643
9336,27.784,292.402,40,22.061,290.191,6.135
564,364.387,303.498,41,361.511,300.162,4.405
5011,588.173,320.144,42,588.194,317.771,2.373
9443,164.028,325.075,43,166.200,325.683,2.255
2623,301.505,338.022,44,296.713,337.813,4.797
6712,458.094,346.653,45,459.474,346.281,1.429
4629,496.932,347.269,46,499.092,351.007,4.317
7630,240.473,351.585,47,243.118,354.804,4.166
9846,618.381,358.366,48,618.854,358.501,0.492
5551,308.903,370.696,49,309.326,367.343,3.380
285,154.781,380.560,50,154.711,382.268,1.709
2004,442.681,405.219,51,440.201,404.553,2.568
9460,500.631,407.069,52,501.250,408.306,1.383
1601,121.491,426.796,53,121.308,432.227,5.434
4159,549.950,428.029,54,549.089,430.530,2.645
7195,8.057,431.728,55,7.866,437.484,5.759
4292,602.968,441.592,56,607.787,442.193,4.856
4461,623.313,444.674,57,623.223,444.520,0.178
8644,381.649,453.922,58,380.780,454.065,0.881
10313,374.868,455.771,59,376.830,458.177,3.105
8735,310.753,466.868,60,311.501,468.610,1.896
