truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
39,320.000,240.000,0,320.009,239.899,0.102
498,160.946,138.279,1,161.000,142.050,3.771
8732,121.491,11.899,3,120.630,5.284,6.671
4146,529.606,7.584,4,528.820,8.890,1.524
6337,74.021,29.777,5,75.590,24.000,5.986
2304,389.663,28.544,6,390.846,28.000,1.302
4792,103.612,36.559,9,103.441,39.999,3.444
184,23.469,64.301,10,23.295,61.005,3.301
8399,102.996,51.971,11,104.558,51.893,1.564
2776,125.189,52.587,12,125.000,51.997,0.620
7438,170.810,55.670,14,171.000,61.031,5.364
4197,407.541,34.093,15,406.356,30.819,3.482
5018,483.986,79.096,16,481.530,73.136,6.446
6366,313.219,72.315,17,309.802,72.554,3.425
7560,29.634,56.903,18,28.874,56.671,0.794
1837,141.835,88.344,19,142.370,89.013,0.856
3854,528.990,92.043,20,526.383,99.387,7.793
9317,63.541,142.595,22,67.908,141.488,4.505
2700,131.354,109.304,23,130.151,106.295,3.240
8619,164.028,113.003,24,160.264,111.654,3.998
9857,136.286,207.326,26,136.887,209.022,1.800
3286,156.630,116.086,27,157.676,113.328,2.949
9097,515.427,124.717,28,511.830,124.999,3.608
8849,123.956,124.100,29,122.763,129.888,5.909
7640,281.161,130.265,30,274.543,128.751,6.789
5695,344.660,133.347,31,343.592,134.764,1.774
2001,379.183,131.498,32,380.516,125.832,5.820
1829,297.190,164.788,33,294.000,168.924,5.224
2372,390.280,194.996,34,393.605,193.799,3.534
25,408.774,187.598,35,411.365,191.098,4.355
4832,321.233,191.297,36,321.946,194.850,3.624
1740,332.330,178.968,37,332.999,182.196,3.297
9825,21.003,200.545,38,25.000,204.000,5.283
4329,508.029,206.093,39,505.000,208.000,3.579
8425,130.738,214.107,40,130.029,212.002,2.222
7483,23.469,212.258,41,24.780,210.944,1.856
7978,590.022,198.079,42,592.184,199.569,2.626
9319,88.200,225.204,43,86.163,225.584,2.072
5356,130.121,302.265,44,131.927,302.884,1.910
5429,31.483,241.233,46,33.390,240.604,2.008
1298,563.513,228.903,47,567.370,224.722,5.688
9388,72.788,269.591,48,71.678,265.220,4.509
2563,557.965,262.194,49,560.000,266.569,4.825
5705,584.474,234.452,50,585.440,234.146,1.013
3402,235.541,228.287,51,235.036,230.998,2.757
9838,399.527,294.868,53,399.312,295.488,0.656
6918,498.782,294.868,55,496.807,295.351,2.033
5004,548.101,301.032,56,549.789,301.146,1.692
6597,495.699,333.706,58,497.065,333.202,1.456
1903,226.910,334.323,59,230.601,330.873,5.052
9643,505.563,334.323,60,504.126,334.930,1.560
9057,141.218,338.022,61,143.328,340.509,3.262
9895,583.241,347.269,62,587.343,344.568,4.911
6712,458.094,346.653,63,459.524,347.001,1.471
1806,555.499,357.133,64,555.002,359.030,1.961
6155,625.162,379.943,65,624.043,378.605,1.745
10367,599.886,376.244,66,597.565,375.000,2.633
8934,38.881,391.656,68,42.000,386.000,6.459
1700,562.897,389.190,69,564.889,388.466,2.119
3049,473.506,201.161,70,476.100,201.217,2.595
8811,67.239,402.137,71,65.943,401.349,1.517
9004,546.251,455.155,73,546.293,454.187,0.969
8480,246.638,456.388,74,245.838,455.818,0.983
5618,516.660,460.087,75,517.788,465.278,5.312
