# dx,dy,dist
7.149999999999749889e-01,1.860999999999989996e+00,1.993626344127687133e+00
3.562999999999988177e+00,1.088000000000000078e+00,3.725414473585444863e+00
-1.350000000000051159e-01,-3.600999999999999979e+00,3.603529658543134673e+00
-3.459000000000003183e+00,1.189999999999997726e-01,3.461046373569707235e+00
-1.972999999999956344e+00,-8.680000000000003268e-01,2.155493678951490022e+00
2.292999999999992156e+00,-5.259000000000000341e+00,5.737153475374348943e+00
-2.861000000000046839e+00,-2.079999999999984084e-01,2.868551027958238464e+00
2.439999999999997726e+00,1.215999999999993975e+00,2.726216425744657279e+00
4.558999999999997499e+00,2.240000000000037517e-01,4.564499643991658751e+00
4.419000000000011141e+00,-3.930999999999997385e+00,5.914416454731614259e+00
-3.859999999999956799e-01,-1.630000000000038085e-01,4.190047732424988514e-01
-7.299999999999329248e-02,2.210000000000000853e+00,2.211205327417606004e+00
-5.825999999999993406e+00,-3.030999999999998806e+00,6.567285360025093333e+00
2.458000000000026830e+00,-2.336999999999996191e+00,3.391656380000797721e+00
3.989999999999895408e+00,2.944999999999993179e+00,4.959145591732423419e+00
-1.555000000000006821e+00,2.197000000000002728e+00,2.691622930501230915e+00
2.350999999999999091e+00,2.213999999999998636e+00,3.229395763916214079e+00
-1.382000000000005002e+00,4.222000000000008413e+00,4.442432666906735328e+00
6.847999999999956344e+00,-3.410000000000081855e-01,6.856484886587252525e+00
-1.267000000000052751e+00,-5.414000000000001478e+00,5.560277421136480491e+00
-1.449999999999960210e-01,-4.379000000000004889e+00,4.381400004564755868e+00
-2.027999999999991587e+00,-4.979999999999989768e+00,5.377098102136491420e+00
-2.362999999999999545e+00,-4.033000000000001251e+00,4.674276200653959101e+00
-3.334000000000003183e+00,-5.510000000000019327e-01,3.379224319278023803e+00
-2.298000000000001819e+00,-1.558999999999997499e+00,2.776920056465435938e+00
3.959000000000003183e+00,4.658999999999991815e+00,6.113915439389062456e+00
1.934999999999945430e+00,3.405000000000001137e+00,3.916407792863224824e+00
1.700000000000017053e-01,5.837000000000017508e+00,5.839475062024000351e+00
-2.740000000000009095e-01,8.270000000000266027e-01,8.712089301654595275e-01
1.825999999999964984e+00,5.760000000000218279e-01,1.914693709186902071e+00
3.039999999999736247e-01,5.040000000000190994e-01,5.885847432613278141e-01
-2.947000000000002728e+00,3.540999999999996817e+00,4.606895918077593244e+00
8.430000000000177351e-01,-2.500000000000000000e+00,2.638304190194912024e+00
-3.040999999999996817e+00,-2.949000000000012278e+00,4.236069168462673673e+00
4.270000000000209184e-01,6.307000000000016371e+00,6.321437969323136841e+00
8.809999999999718057e-01,-2.481999999999999318e+00,2.633720752091980533e+00
3.981000000000001648e+00,3.530000000000001137e+00,5.320644791752219938e+00
-3.250999999999976353e+00,1.872000000000014097e+00,3.751451052592836177e+00
-4.729999999999563443e-01,-2.980000000000018190e+00,3.017304923271770800e+00
2.881000000000000227e+00,5.356999999999999318e+00,6.082566070335775343e+00
-4.250000000000000000e+00,-1.193000000000012051e+00,4.414266530240332997e+00
3.116999999999990223e+00,1.141999999999995907e+00,3.319616393500901097e+00
-3.503000000000014325e+00,2.990999999999985448e+00,4.606201254830276426e+00
3.790000000000190994e-01,2.419999999999902229e-01,4.496721027593436615e-01
1.096999999999997755e+00,1.763000000000005230e+00,2.076433962349877760e+00
8.289999999999508873e-01,1.509000000000014552e+00,1.721720650976796163e+00
-2.190000000000011937e+00,-3.493999999999971351e+00,4.123607158787055305e+00
-4.263000000000033651e+00,1.481999999999970896e+00,4.513257471051280056e+00
3.539000000000100954e+00,4.278999999999996362e+00,5.552869708538160864e+00
-2.656999999999982265e+00,-4.139999999999872671e-01,2.689060244769517105e+00
3.255999999999999783e+00,-2.095999999999946795e+00,3.872305773050441324e+00
1.335999999999955890e+00,-2.189000000000021373e+00,2.564491567543160322e+00
1.955999999999960437e+00,-1.043999999999982720e+00,2.217176582954052400e+00
6.800000000000068212e-01,3.840000000000145519e-01,7.809327755959667439e-01
-5.590000000000827640e-01,-9.549999999999840838e-01,1.106573992103583759e+00
6.130000000000563887e-01,7.690000000000054570e-01,9.834276790898645038e-01
-3.959999999999979536e+00,5.000000000001136868e-02,3.960315643985948597e+00
3.831000000000017280e+00,-3.135999999999967258e+00,4.950864267983916989e+00
3.257999999999981355e+00,3.770000000000095497e-01,3.279739776262727613e+00
-2.425999999999987722e+00,1.600000000000250111e-01,2.431270449785450705e+00
3.144999999999981810e+00,1.646000000000015007e+00,3.549695902468257280e+00
1.612000000000023192e+00,3.949999999999818101e-01,1.659689428778788223e+00
-1.176000000000044565e+00,-1.447000000000002728e+00,1.864613901053006728e+00
-3.730000000000018190e+00,2.004000000000019099e+00,4.234255070257366249e+00
-2.355000000000018190e+00,-1.368000000000051841e+00,2.723499403341265168e+00
7.090000000000031832e-01,-1.318999999999959982e+00,1.497478547425604711e+00
2.231000000000001648e+00,-5.612999999999999545e+00,6.040126654301215758e+00
-4.480000000000927685e-01,-2.382999999999981355e+00,2.424745966075620540e+00
1.579000000000007731e+00,1.620000000000004547e+00,2.262220369460066216e+00
1.219000000000008299e+00,1.225999999999999091e+00,1.728883165514667919e+00
4.027000000000043656e+00,-5.819999999999936335e-01,4.068839269374048939e+00
-6.240000000000236469e-01,1.651000000000010459e+00,1.764986402213927441e+00
5.699999999999931788e-01,2.638000000000033651e+00,2.698878285510513564e+00
-3.840000000000145519e-01,4.410000000000025011e+00,4.426686797143009500e+00
